
Results_All_Set_Multipartite_DEG_Level
The matrix size 42 X 1856,classifier,tr_precision_avg_as,tr_precision_stdev_as,tr_recall_avg_as,tr_recall_stdev_as,tr_f1_avg_as,tr_f1_stdev_as,te_precision_avg_as,te_precision_stdev_as,te_recall_avg_as,te_recall_stdev_as,te_f1_avg_as,te_f1_stdev_as,Tf_CV_Avg_as,Tf_CV_stdev_as,au_ROC_avg_as,au_ROC_stdev_as,au_PR_avg_as,au_PR_stdev_as
No. of top consistent gene 15,classifier,tr_precision_avg_is,tr_precision_stdev_is,tr_recall_avg_is,tr_recall_stdev_is,tr_f1_avg_is,tr_f1_stdev_is,te_precision_avg_is,te_precision_stdev_is,te_recall_avg_is,te_recall_stdev_is,te_f1_avg_is,te_f1_stdev_is,Tf_CV_Avg_is,Tf_CV_stdev_is,au_ROC_avg_is,au_ROC_stdev_is,au_PR_avg_is,au_PR_stdev_is
0,LogR,7.35e-01,0.0,0.71,0.0,0.82,0.0,0.875,0.0,0.883,0.0,0.917,0.0,0.633,0.0,0.875,0.0,0.931,0.0
1,gNB,0.735,0.0,0.71,0.0,0.82,0.0,0.875,0.0,0.883,0.0,0.917,0.0,0.725,0.0,0.875,0.0,0.931,0.0
2,SVM,0.735,0.0,0.71,0.0,0.82,0.0,0.875,0.0,0.883,0.0,0.917,0.0,0.692,0.0,0.875,0.0,0.931,0.0
3,DT,0.735,0.0,0.71,0.0,0.82,0.0,0.75,0.0,0.75,0.0,0.857,0.0,0.567,0.0,0.75,0.0,0.861,0.0
4,RF,0.735,0.0,0.71,0.0,0.82,0.0,0.875,0.0,0.883,0.0,0.917,0.0,0.6,0.0,0.875,0.0,0.931,0.0
5,KNN,0.618,0.0,0.546,0.0,0.776,0.0,0.625,0.0,0.585,0.0,0.812,0.0,0.6,0.0,0.75,0.0,0.861,0.0
6,LDA,0.735,0.0,0.71,0.0,0.82,0.0,0.625,0.0,0.585,0.0,0.812,0.0,0.567,0.0,0.375,0.0,0.596,0.0
7,mNB,0.382,0.0,0.283,0.0,0.224,0.0,0.25,0.0,0.182,0.0,0.143,0.0,0.175,0.0,0.375,0.0,0.596,0.0
8,ABC,0.735,0.0,0.71,0.0,0.82,0.0,0.75,0.0,0.75,0.0,0.857,0.0,0.6,0.021,0.75,0.0,0.861,0.0
9,GBC,0.735,0.0,0.71,0.0,0.82,0.0,0.75,0.0,0.75,0.0,0.857,0.0,0.628,0.013,0.75,0.0,0.861,0.0
10,ETC,0.735,0.0,0.71,0.0,0.82,0.0,0.875,0.0,0.883,0.0,0.917,0.0,0.606,0.013,0.875,0.0,0.931,0.0
11,BC,0.735,0.0,0.71,0.0,0.82,0.0,0.75,0.0,0.75,0.0,0.857,0.0,0.611,0.017,0.833,0.065,0.908,0.036

Random Gene Level Multipartite
,classifier,tr_precision_avg_rs,tr_precision_stdev_rs,tr_recall_avg_rs,tr_recall_stdev_rs,tr_f1_avg_rs,tr_f1_stdev_rs,te_precision_avg_rs,te_precision_stdev_rs,te_recall_avg_rs,te_recall_stdev_rs,te_f1_avg_rs,te_f1_stdev_rs,Tf_CV_Avg_rs,Tf_CV_stdev_rs,au_ROC_avg_rs,au_ROC_stdev_rs,au_PR_avg_rs,au_PR_stdev_rs
0,LogR,8.36e-01,0.217,0.743,0.106,0.771,0.133,0.76,0.328,0.588,0.242,0.51,0.193,0.605,0.113,0.626,0.101,0.811,0.049
1,gNB,0.688,0.275,0.683,0.152,0.854,0.123,0.54,0.405,0.43,0.322,0.384,0.28,0.605,0.106,0.6,0.112,0.733,0.08
2,SVM,0.84,0.216,0.75,0.105,0.774,0.133,0.76,0.202,0.62,0.155,0.573,0.164,0.606,0.126,0.611,0.155,0.738,0.132
3,DT,0.775,0.255,0.723,0.137,0.812,0.128,0.67,0.375,0.523,0.288,0.458,0.241,0.608,0.11,0.624,0.097,0.809,0.047
4,RF,0.775,0.255,0.723,0.137,0.812,0.128,0.67,0.375,0.523,0.288,0.458,0.241,0.609,0.11,0.626,0.101,0.811,0.049
5,KNN,0.738,0.379,0.609,0.239,0.658,0.219,0.695,0.426,0.516,0.316,0.428,0.261,0.586,0.083,0.607,0.108,0.801,0.051
6,LDA,0.818,0.23,0.741,0.118,0.787,0.13,0.735,0.341,0.57,0.25,0.498,0.198,0.608,0.11,0.616,0.086,0.778,0.046
7,mNB,0.371,0.11,0.481,0.133,0.917,0.153,0.268,0.095,0.257,0.104,0.289,0.124,0.528,0.05,0.618,0.081,0.727,0.053
8,ABC,0.839,0.224,0.749,0.109,0.774,0.136,0.73,0.366,0.563,0.27,0.488,0.218,0.611,0.109,0.624,0.097,0.809,0.047
9,GBC,0.817,0.234,0.739,0.122,0.787,0.131,0.74,0.338,0.57,0.25,0.493,0.203,0.611,0.109,0.624,0.097,0.809,0.047
10,ETC,0.775,0.255,0.723,0.137,0.812,0.128,0.67,0.375,0.525,0.291,0.461,0.245,0.609,0.113,0.626,0.101,0.811,0.049
11,BC,0.8,0.227,0.73,0.127,0.794,0.114,0.7,0.341,0.545,0.26,0.475,0.215,0.612,0.106,0.624,0.097,0.809,0.047
